factor,category,ic_mean,ic_std,ic_ir,ic_pos_ratio,valid_days
ths_hot,Concept,-0.07337698461578669,0.06118244630376068,-19.038524770846013,0.12215909090909091,352
ths_hot_rank,Concept,0.10900721897102433,0.1406412428019176,12.303901192666093,0.7897727272727273,352
buy_elg_amount,MoneyFlow,-0.07858475031980053,0.13948405396010075,-8.943633352430513,0.27841291190316075,1487
vol_ratio,Volume,-0.05586762811516309,0.10114731087253703,-8.768113500399236,0.2864828513786147,1487
sell_lg_amount,MoneyFlow,-0.0857418930652345,0.15645779283872205,-8.699536988522317,0.28379287155346333,1487
buy_lg_amount,MoneyFlow,-0.08509926125987899,0.15652378923598903,-8.630693767942,0.28312037659717554,1487
sell_elg_amount,MoneyFlow,-0.0746731318698722,0.14193848961972025,-8.35149945904023,0.28917283120376597,1487
alpha_012,Alpha101,0.03038520795530171,0.0627736191900493,7.683963883744323,0.7059219380888291,1486
volatility_20,Technical,-0.0747582715167775,0.1652561395139851,-7.181280966388479,0.3115201090661213,1467
turnover_rate,Liquidity,-0.06951426355228073,0.1587251511199472,-6.9522990893416035,0.3160726294552791,1487
atr_14,Technical,-0.07338429975920324,0.17103514079334314,-6.811112841450381,0.3228882833787466,1468
macd,Technical,-0.057135126202931374,0.13746398442233282,-6.598033762566587,0.3477366255144033,1458
alpha_006,Alpha101,0.02984965812659871,0.07479559910975073,6.335247506265336,0.6549391069012178,1478
mom_20d,Momentum,-0.05263800272386256,0.13477045073178953,-6.200189906419777,0.3712534059945504,1468
mom_60d,Momentum,-0.053367360366393606,0.15409162502013762,-5.497901536400434,0.3697478991596639,1428
news_stock_impact,News,-0.00693695557618877,0.021148006974090704,-5.20714580801411,0.3804034582132565,347
news_market_impact,News,-0.0069205168658584325,0.02117828265018905,-5.1873799798189335,0.3804034582132565,347
news_has_mention,News,-0.0069205168658584325,0.02117828265018905,-5.1873799798189335,0.3804034582132565,347
alpha_023,Alpha101,0.02404287074240839,0.07794694011592766,4.896519865478476,0.6321525885558583,1468
bb_position,Technical,-0.035262859763013535,0.12109095967348776,-4.6228103750162965,0.3923705722070845,1468
mom_10d,Momentum,-0.03597701491104896,0.1305973093002694,-4.373117710269782,0.37821380243572394,1478
rsi_14,Technical,-0.03220574419506695,0.12324805164129088,-4.148141352006371,0.4039509536784741,1468
net_mf_amount_norm,MoneyFlow,0.02203158260386011,0.09837545197568451,3.5551606049077136,0.6139878950907868,1487
mom_5d,Momentum,-0.02731712397638672,0.12681810464871274,-3.4194321122479927,0.4315576534052596,1483
kdj_k,Technical,-0.02149155414805048,0.12057461763735362,-2.8295162951313273,0.43528610354223435,1468
net_mf_vol,MoneyFlow,0.015125893201482969,0.09291384580950679,2.5842877185965216,0.5870880968392737,1487
volume_ratio,Volume,-0.011566585024492123,0.07594602037921176,-2.4176888274293313,0.435723951285521,1478
alpha_009,Alpha101,0.009502555620354404,0.10745937528051018,1.4037713652469037,0.5302826379542396,1486
